book_id,avg_rating,rating_count,review_count,title,series,author,description,length,five_stars,four_stars,three_stars,two_stars,one_star,cover_image
9151669,3.29,51,4,Jitter Joint,(Jeb Quinlin #1),Howard Swindle,"In Jitter Joint, award-winning journalist Howard Swindle delivers Jeb Quinlin, a Dallas homicide detective combating crime-and his own personal demons.""The weak and pitiful shall perish...""Jeb Quinlin has been issued an ultimatum by his boss and his wife: dry out or get out. So he hits his favorite bar for a last fifth of Wild Turkey and reluctantly enters detox. Once insi
In Jitter Joint, award-winning journalist Howard Swindle delivers Jeb Quinlin, a Dallas homicide detective combating crime-and his own personal demons.""The weak and pitiful shall perish...""Jeb Quinlin has been issued an ultimatum by his boss and his wife: dry out or get out. So he hits his favorite bar for a last fifth of Wild Turkey and reluctantly enters detox. Once inside, Jeb is forced to confront his years of alcoholism with the help of Librium, hard-core therapy, and AA meetings. But someone is taking the words of the Big Book too far, as rehab patients begin to die mysteriously, each tagged with one of AA's Twelve Steps. Now Jeb is on a sobering hunt for the Twelve-Step killer, a twisted psychopath who's taking the battle with the bottle to horrifying new heights...
...more",256 pages,7,13,20,10,1,https://images.gr-assets.com/books/1316128520l/9151669.jpg
123203,4.17,13108,139,The Black Stallion Returns,(The Black Stallion #2),Walter Farley,"In this, the second book in the series, the heart-stopping adventures of the Black Stallion continue as Alec discovers that two men are after the Black. One claims to be the Black’s rightful owner and one is trying to kill the beautiful steed. An Arab chieftain proves his ownership of the Black and takes him away, but Alec is determined to find his horse again. Following t
In this, the second book in the series, the heart-stopping adventures of the Black Stallion continue as Alec discovers that two men are after the Black. One claims to be the Black’s rightful owner and one is trying to kill the beautiful steed. An Arab chieftain proves his ownership of the Black and takes him away, but Alec is determined to find his horse again. Following the pair to Arabia, Alec encounters great evil and intrigue, as only a horse as spectacular as the Black could inspire.
...more",240 pages,5703,4407,2608,332,58,https://images.gr-assets.com/books/1388375048l/123203.jpg
7140096,4.06,1616,186,Nightmare Alley,,William Lindsay Gresham,"Nightmare Alley begins with an extraordinary description of a freak-show geek—alcoholic and abject and the object of the voyeuristic crowd’s gleeful disgust and derision—going about his work at a county fair. Young Stan Carlisle is working as a carny, and he wonders how a man could fall so low. There’s no way in hell, he vows, that anything like that will ever happen to hi
Nightmare Alley begins with an extraordinary description of a freak-show geek—alcoholic and abject and the object of the voyeuristic crowd’s gleeful disgust and derision—going about his work at a county fair. Young Stan Carlisle is working as a carny, and he wonders how a man could fall so low. There’s no way in hell, he vows, that anything like that will ever happen to him.And since Stan is clever and ambitious and not without a useful streak of ruthlessness, soon enough he’s going places. Onstage he plays the mentalist with a cute bimbo (before long his harried wife), then he graduates to full-blown spiritualist, catering to the needs of the rich and gullible in their well-upholstered homes. It looks like the world is Stan’s for the taking. William Lindsay Gresham’s novel is a dark jewel, a classic American tale about the varieties of deception and self-deception and the dream of redemption—a dream that is only a nightmare in disguise.
...more",275 pages,615,599,306,79,17,https://images.gr-assets.com/books/1348006083l/7140096.jpg
973352,4.13,892,97,Cool Hand Luke,,Donn Pearce,"""An impressive novel . . . the most brutal and authentic account of a road gang that we have had."" —New York TimesOut of his experiences working on a chain gang, Donn Pearce created Cool Hand Luke, the larger-than-life war hero—Good Guy Number One—turned drunkard, vandal, and convict. A blasphemer and ""pretty evil feller"" who ""could work the hardest, eat the mostest, and t
""An impressive novel . . . the most brutal and authentic account of a road gang that we have had."" —New York TimesOut of his experiences working on a chain gang, Donn Pearce created Cool Hand Luke, the larger-than-life war hero—Good Guy Number One—turned drunkard, vandal, and convict. A blasphemer and ""pretty evil feller"" who ""could work the hardest, eat the mostest, and tell the biggest lies."" Luke's outsized feats of gambling and gluttony—he bets Society Red, a college man from Boston, that he can eat fifty eggs—and his harrowing escapes and recaptures are recounted by Dragline, who followed Luke in his last, fatal escape attempt and who basks in Luke's reflected glory. To the convicts left behind on the chain gang, Luke has become the hope of freedom and defiance that they dare not act upon themselves. Luke's refusal to ""git his mind right"" and submit to the sadistic discipline of the Walking Boss becomes part of their mythology of survival.
...more",304 pages,339,365,158,28,2,https://images.gr-assets.com/books/1285523040l/973352.jpg
224994,3.82,579,57,Altered States,,Paddy Chayefsky,"Inspired by the work of John C. Lilly, Chayefsky spent two years in Boston doing research to write his science fiction novel Altered States (HarperCollins, 1978), which he adapted for his last screenplay. In the film Chayefsky is credited under his real first and middle name, Sidney Aaron, because of disputes with director Ken Russell. Some of the events portrayed in this
Inspired by the work of John C. Lilly, Chayefsky spent two years in Boston doing research to write his science fiction novel Altered States (HarperCollins, 1978), which he adapted for his last screenplay. In the film Chayefsky is credited under his real first and middle name, Sidney Aaron, because of disputes with director Ken Russell. Some of the events portrayed in this film seem to be based on the studies of the French surrealist author Antonin Artaud; the protagonist visits a tribe of isolated Mexican tribal people & participates in their sacred shamanic ritual involving local hallucinogens for the purpose of investigating the common religious experience. Much of the setting of this part of the film also appears to be based on Artaud's description of the natural, altho seemingly man-made landscape of the people. In the movie, this was represented by huge stone mushrooms often called hoodoos & attributed to the supernatural.
...more",206 pages,138,247,152,33,9,https://images.gr-assets.com/books/1329396975l/224994.jpg
223691,3.7,302,22,The Mephisto Waltz,,Fred Mustard Stewart,"""Paula and Myles Clarkson's luck was in the ascendant. After a period of depression following his resounding failure as a concert pianist, Myles had decided, with Paula's encouragement to turn to a career in writing. Now the free-lance assignments that would finance his work on a novel were beginning to come in, among them a journalist's dream - the chance to interview the
""Paula and Myles Clarkson's luck was in the ascendant. After a period of depression following his resounding failure as a concert pianist, Myles had decided, with Paula's encouragement to turn to a career in writing. Now the free-lance assignments that would finance his work on a novel were beginning to come in, among them a journalist's dream - the chance to interview the internationally celebrated pianist Duncan Ely. Astonishingly, the notoriously difficult Duncan warms toward him, sensing perhaps in Myles' love for music - and in his extraordinary pianist's hands - a kindred soul. The Mephisto Waltz is a spellbinder of a novel - a novel that makes Rosemary's Baby look like child play."" The book was made into a major motion picture released in 1971 starring Alan Alda, Jacqueline Bisset and Curt Jurgens
...more",256 pages,76,98,94,29,5,https://images.gr-assets.com/books/1253764151l/223691.jpg
1676273,4.2,26930,734,L.A. Confidential,(L.A. Quartet #3),James Ellroy,"Christmas 1951, Los Angeles: a city where the police are as corrupt as the criminals. Six prisoners are beaten senseless in their cells by cops crazed on alcohol. For the three LAPD detectives involved, it will expose the guilty secrets on which they have built their corrupt and violent careers. The novel takes these cops on a sprawling epic of brutal violence and the murd
Christmas 1951, Los Angeles: a city where the police are as corrupt as the criminals. Six prisoners are beaten senseless in their cells by cops crazed on alcohol. For the three LAPD detectives involved, it will expose the guilty secrets on which they have built their corrupt and violent careers. The novel takes these cops on a sprawling epic of brutal violence and the murderous seedy side of Hollywood. One of the best crime novels ever written, it is the heart of Ellroy's four-novel masterpiece, the LA Quartet, and an example of crime writing at its most powerful.
...more",496 pages,11927,10066,3763,812,362,https://images.gr-assets.com/books/1347809487l/1676273.jpg
253202,3.51,1795,99,Cal,,Bernard MacLaverty,"Set in the Northern Ireland of the 1980’s, Cal tells the story of a young Catholic man living in a Protestant area. For Cal, some choices are devastatingly simple: he can work in an abattoir that nauseates him or join the dole queue; he can brood on his past or plan a future with Marcella.Springing out of the fear and violence of Ulster, Cal is a haunting love story that u
Set in the Northern Ireland of the 1980’s, Cal tells the story of a young Catholic man living in a Protestant area. For Cal, some choices are devastatingly simple: he can work in an abattoir that nauseates him or join the dole queue; he can brood on his past or plan a future with Marcella.Springing out of the fear and violence of Ulster, Cal is a haunting love story that unfolds in a land where tenderness and innocence can only flicker briefly in the dark.
...more",154 pages,318,621,571,228,57,https://images.gr-assets.com/books/1345904001l/253202.jpg
512704,3.63,2294,301,Gentlemen Prefer Blondes,(Lorelei Lee #1),Anita Loos,"If any American fictional character of the twentieth century seems likely to be immortal, it is Lorelei Lee of Little Rock, Arkansas, the not-so-dumb blonde who knew that diamonds are a girl’s best friend. Outrageous, charming, and unforgettable, she’s been portrayed on stage and screen by Carol Channing and Marilyn Monroe and has become the archetype of the footloose, goo
If any American fictional character of the twentieth century seems likely to be immortal, it is Lorelei Lee of Little Rock, Arkansas, the not-so-dumb blonde who knew that diamonds are a girl’s best friend. Outrageous, charming, and unforgettable, she’s been portrayed on stage and screen by Carol Channing and Marilyn Monroe and has become the archetype of the footloose, good-hearted gold digger, with an insatiable appetite for orchids, champagne, and precious stones. Here are her “diaries,” created by Anita Loos in the Roaring Twenties, as Lorelei and her friend Dorothy barrel across Europe meeting everyone from the Prince of Wales to “Doctor Froyd” – and then back home again to marry a Main Line millionaire and become a movie star. In this delightfully droll and witty book, Lorelei Lee’s wild antics, unique outlook, and imaginative way with language shine.
...more",165 pages,469,841,717,204,63,https://images.gr-assets.com/books/1347601719l/512704.jpg
2183315,3.18,67,5,Murder in Amityville,,Hans Holzer,"The Lutz family barely escapes 112 Ocean Ave. While fleeing Amityville, they are attacked, but got away. They arrive at Kathy's mother's house, where they think they are safe. Soon after, George is awoken by a supernatural force. George and Kathy realize that they are being followed. Over the next few days, Kathy and her mother spot Missy playing with Jodie. Events plague
The Lutz family barely escapes 112 Ocean Ave. While fleeing Amityville, they are attacked, but got away. They arrive at Kathy's mother's house, where they think they are safe. Soon after, George is awoken by a supernatural force. George and Kathy realize that they are being followed. Over the next few days, Kathy and her mother spot Missy playing with Jodie. Events plague the family. They get The Amityville Horror published and have to deal not only with the supernatural, but skeptics and a never ending line of press.
...more",288 pages,15,12,18,14,8,https://s.gr-assets.com/assets/nophoto/book/blank-133x176-8b769f39ba6687a82d2eef30bdf46977.jpg
1627737,3.77,22,6,The Brave Bulls,,Tom Lea,"One of Texas's true renaissance men, Tom Lea (1907-2001) was already a noted artist, muralist, and book illustrator when he published his first novel, The Brave Bulls, in 1949. This suspenseful story of bullfighting in Mexico, elegantly illustrated by the author, spent several weeks on the New York Times bestseller list and was hailed by Time magazine as the best first nov
One of Texas's true renaissance men, Tom Lea (1907-2001) was already a noted artist, muralist, and book illustrator when he published his first novel, The Brave Bulls, in 1949. This suspenseful story of bullfighting in Mexico, elegantly illustrated by the author, spent several weeks on the New York Times bestseller list and was hailed by Time magazine as the best first novel of the year. It also won the Carr P. Collins Award from the Texas Institute of Letters, went through numerous reprints and translations, and became a 1951 movie starring Mel Ferrer and Anthony Quinn.
...more",296 pages,5,11,3,2,1,https://images.gr-assets.com/books/1348669199l/1627737.jpg
1220489,3.59,135,21,The Wailing Asteroid,,Murray Leinster,"THE PUBLIC ABRUPTLY ceased to be interested in news of the signals. Rather, it suddenly wanted to stop thinking about them. The public was scared. Throughout all human history, the most horrifying of all ideas has been the idea of something which was as intelligent as a man, but wasn't human.The first sounds came at midnight, a plaintive keening from an unknown voice in th
THE PUBLIC ABRUPTLY ceased to be interested in news of the signals. Rather, it suddenly wanted to stop thinking about them. The public was scared. Throughout all human history, the most horrifying of all ideas has been the idea of something which was as intelligent as a man, but wasn't human.The first sounds came at midnight, a plaintive keening from an unknown voice in the vastness of uncharted space. Within hours the whole world had heard the strange, unearthly music--and the panic had begun.Were the sounds a plea for help? From whom? From where? Or were they a command too terrible to think about? No one knew: And in billions of earth-bound minds the horror grew...For how could man, who had not yet claimed the moon, defy a challenge from the stars?And hours later, to the ears of a helpless world, the second message came. . .And Earth's days were numbered.
...more",160 pages,27,44,48,13,3,https://images.gr-assets.com/books/1348626436l/1220489.jpg
4743823,3,5,3,Escape,,Ethel Vance,"The time is the late '30s before World War II. Emmy Ritter, an actress who had fled to America, foolishly returns to Nazi Germany to sell her house. She is arrested and condemned to death, but because of an emergency appendectomy, she awaits the carrying-out of the sentence in the infirmary of a concentration camp. Her son Mark comes to find her and a dangerous plot is put
The time is the late '30s before World War II. Emmy Ritter, an actress who had fled to America, foolishly returns to Nazi Germany to sell her house. She is arrested and condemned to death, but because of an emergency appendectomy, she awaits the carrying-out of the sentence in the infirmary of a concentration camp. Her son Mark comes to find her and a dangerous plot is put into action: a plot to save Emmy Ritter.
...more",428 pages,0,1,3,1,0,https://images.gr-assets.com/books/1384733818l/4743823.jpg
15769,4.11,162165,1126,The Bourne Supremacy,(Jason Bourne #2),Robert Ludlum,"A killer with no face, no identity and a name the world wanted to forget:Jason BourneReenter the shadowy world of Jason Bourne, an expert assassin still plagued by the splintered nightmares of his former life. This time the stakes are higher than ever. For someone else has taken on the Bourne identity—a ruthless killer who must be stopped or the world will pay a devastatin
A killer with no face, no identity and a name the world wanted to forget:Jason BourneReenter the shadowy world of Jason Bourne, an expert assassin still plagued by the splintered nightmares of his former life. This time the stakes are higher than ever. For someone else has taken on the Bourne identity—a ruthless killer who must be stopped or the world will pay a devastating price. To succeed, the real Jason Bourne must maneuver through the dangerous labyrinth of international espionage—an exotic world filled with CIA plots, turncoat agents, and ever-shifting alliances—all the while hoping to find the truth behind his haunted memories and the answers to his own fragmented past. This time there are two Bournes—and one must die.
...more",688 pages,62564,63536,29162,5081,1822,https://images.gr-assets.com/books/1335860600l/15769.jpg
138959,3.89,98555,2365,Stuart Little,,E.B. White,"A paperback edition of E.B. White's classic novel about one small mouse on a very big adventure! With black and white illustrations.Stuart Little is no ordinary mouse. Born to a family of humans, he lives in New York City with his parents, his older brother George, and Snowbell the cat. Though he's shy and thoughtful, he's also a true lover of adventure.Stuart's greatest a
A paperback edition of E.B. White's classic novel about one small mouse on a very big adventure! With black and white illustrations.Stuart Little is no ordinary mouse. Born to a family of humans, he lives in New York City with his parents, his older brother George, and Snowbell the cat. Though he's shy and thoughtful, he's also a true lover of adventure.Stuart's greatest adventure comes when his best friend, a beautiful little bird named Margalo, disappears from her nest. Determined to track her down, Stuart ventures away from home for the very first time in his life. He finds adventure aplenty. But will he find his friend?
...more",131 pages,32795,32031,25543,6403,1783,https://images.gr-assets.com/books/1347367311l/138959.jpg
33,4.49,491925,10508,The Lord of the Rings,(The Lord of the Rings #1-3),J.R.R. Tolkien,"One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkness bind themIn ancient times the Rings of Power were crafted by the Elven-smiths, and Sauron, the Dark Lord, forged the One Ring, filling it with his own power so that he could rule all others. But the One Ring was taken from him, and though he sought it throughout Middle-earth, i
One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkness bind themIn ancient times the Rings of Power were crafted by the Elven-smiths, and Sauron, the Dark Lord, forged the One Ring, filling it with his own power so that he could rule all others. But the One Ring was taken from him, and though he sought it throughout Middle-earth, it remained lost to him. After many ages it fell by chance into the hands of the hobbit Bilbo Baggins.From Sauron's fastness in the Dark Tower of Mordor, his power spread far and wide. Sauron gathered all the Great Rings to him, but always he searched for the One Ring that would complete his dominion.When Bilbo reached his eleventy-first birthday he disappeared, bequeathing to his young cousin Frodo the Ruling Ring and a perilous quest: to journey across Middle-earth, deep into the shadow of the Dark Lord, and destroy the Ring by casting it into the Cracks of Doom.The Lord of the Rings tells of the great quest undertaken by Frodo and the Fellowship of the Ring: Gandalf the Wizard; the hobbits Merry, Pippin, and Sam; Gimli the Dwarf; Legolas the Elf; Boromir of Gondor; and a tall, mysterious stranger called Strider.
...more",1216 pages,317762,117846,40870,10283,5164,https://images.gr-assets.com/books/1547450792l/33.jpg
42956,3.8,1946,115,Sayonara,,James A. Michener,"From a great master of historical fiction comes a brilliant tale of love amid war. James A. Michener combines powerful storytelling with deep sensitivity in this novel of a U.S. Army man who, against all odds, falls for a fascinating Japanese woman. Stationed in the exotic Far East, Major Lloyd Gruver considers himself lucky. The son of a general, dating the daughter of an
From a great master of historical fiction comes a brilliant tale of love amid war. James A. Michener combines powerful storytelling with deep sensitivity in this novel of a U.S. Army man who, against all odds, falls for a fascinating Japanese woman. Stationed in the exotic Far East, Major Lloyd Gruver considers himself lucky. The son of a general, dating the daughter of another powerful military family, he can look forward to a bright future. And he just can’t understand guys like Private Joe Kelly, who throw away their lives in the States by marrying local girls. But then Lloyd meets Hana-ogi. After that, nothing matters anymore . . . nothing but her.  Praise for James A. Michener  “A master storyteller . . . Michener, by any standards, is a phenomenon.”—The Wall Street Journal  “Sentence for sentence, writing’s fastest attention grabber.”—The New York Times   “Michener has become an institution in America, ranking somewhere between Disneyland and the Library of Congress. You learn a lot from him.”—Chicago Tribune
 
 “While he fascinates and engrosses, Michener also educates.”—Los Angeles Times
...more",208 pages,505,709,591,117,24,https://images.gr-assets.com/books/1386921885l/42956.jpg
